Objectives,Mining Expedition
Objectives,Egg Hunt
Objectives,On-Site Refining
Objectives,Salvage Operation
Objectives,Point Extraction
Objectives,Deep Scan
Objectives,Escort Duty
Objectives,Elimination
Objectives,Industrial Sabotage
Objectives,Lithophage Outbreak (Objective)
Warnings,Exploder Infestation
Warnings,Shield Disruption
Warnings,Mactera Plague
Warnings,Cave Leech
Warnings,Parasites
Warnings,Regenerative Bugs
Warnings,Low Oxygen
Warnings,Lethal Enemies
Warnings,Haunted Cave
Warnings,Elite Threat
Warnings,Swarmageddon
Warnings,Rival Presence
Warnings,Lithophage Outbreak (Warning)
Warnings,Duck and Cover
Warnings,Ebonite Outbreak
Milestones,Beat all objectives
Milestones,Beat all warnings
Milestones,Beat a Deep Dive
Milestones,Beat an Elite Deep Dive
Eradications,Kill a Huuli Hoarder
Eradications,Kill a Glyphid Bulk Detonator
Eradications,Kill a Korlok Tyrant-Weed
Eradications,Kill a Bet-C
Eradications,Kill a Golden Lootbug
Eradications,Kill a Nemesis
Eradications,Kill a Lithophage Rockpox Corruptor
